city,state,locality,property_type,total_sqft,bhk,bath,balcony,floor,age_years,furnishing,facing,price,price_per_sqft
Mumbai,Maharashtra,Thane,Villa,2550,4,4,3,4,15,Unfurnished,South,339.92,18700.0
Mumbai,Maharashtra,Mulund,Apartment,1500,3,4,0,18,0,Semi-Furnished,North-West,348.26,20255.0
Mumbai,Maharashtra,Worli,Builder Floor,2350,4,5,1,23,5,Fully Furnished,West,492.94,16412.0
Mumbai,Maharashtra,Dadar,Independent House,2250,4,4,1,16,2,Semi-Furnished,North-East,399.24,16153.0
Mumbai,Maharashtra,Kurla,Apartment,1500,3,3,0,17,1,Semi-Furnished,East,428.76,26645.0
Mumbai,Maharashtra,Thane,Apartment,2700,5,5,1,22,5,Unfurnished,North-East,564.96,21829.0
Mumbai,Maharashtra,Navi Mumbai,Independent House,4150,6,7,1,2,15,Semi-Furnished,North,850.12,23854.0
Mumbai,Maharashtra,Navi Mumbai,Apartment,1750,3,4,2,3,1,Semi-Furnished,West,422.01,20979.0
Mumbai,Maharashtra,Powai,Villa,3200,4,4,1,16,10,Semi-Furnished,East,805.89,25394.0
Mumbai,Maharashtra,Powai,Apartment,2800,5,5,1,14,2,Semi-Furnished,North-East,653.96,21821.0
Mumbai,Maharashtra,Bandra,Independent House,3000,5,6,1,3,2,Fully Furnished,North-East,769.77,22680.0
Mumbai,Maharashtra,Kurla,Apartment,3500,6,6,1,14,1,Fully Furnished,North,966.67,21652.0
Mumbai,Maharashtra,Kandivali,Apartment,3500,6,6,1,9,1,Unfurnished,East,730.95,21964.0
Mumbai,Maharashtra,Kandivali,Villa,6000,3,4,3,3,15,Fully Furnished,North,1147.5,19774.0
Mumbai,Maharashtra,Kurla,Villa,4400,4,5,3,21,15,Unfurnished,South,829.6,23352.0
Mumbai,Maharashtra,Goregaon,Builder Floor,1850,3,3,1,8,5,Unfurnished,North-East,385.94,22861.0
Mumbai,Maharashtra,Thane,Apartment,2100,4,5,1,17,1,Fully Furnished,East,502.61,20869.0
Mumbai,Maharashtra,Thane,Apartment,1800,3,3,2,17,5,Unfurnished,North-West,373.71,21588.0
Mumbai,Maharashtra,Lower Parel,Apartment,1400,3,3,1,12,1,Semi-Furnished,North-East,327.64,23206.0
Mumbai,Maharashtra,Bandra,Apartment,3500,6,6,2,14,2,Semi-Furnished,East,642.79,15817.0
Mumbai,Maharashtra,Thane,Apartment,1950,4,5,3,9,0,Semi-Furnished,East,508.08,22354.0
Mumbai,Maharashtra,Bandra,Villa,2850,4,4,1,4,0,Semi-Furnished,South,535.65,17363.0
Mumbai,Maharashtra,Mulund,Villa,3200,5,6,3,21,0,Unfurnished,North-East,742.52,23044.0
Mumbai,Maharashtra,Lower Parel,Independent House,2850,5,5,2,2,2,Unfurnished,West,789.32,27034.0
Mumbai,Maharashtra,Andheri,Builder Floor,950,2,2,3,11,0,Fully Furnished,East,260.55,22366.0
Mumbai,Maharashtra,Bandra,Apartment,3250,6,6,1,8,0,Fully Furnished,North-West,731.54,19641.0
Mumbai,Maharashtra,Goregaon,Independent House,2750,5,6,1,9,2,Unfurnished,East,632.32,22653.0
Mumbai,Maharashtra,Goregaon,Apartment,1700,3,3,2,1,2,Semi-Furnished,North,306.93,17292.0
Mumbai,Maharashtra,Lower Parel,Independent House,3400,6,6,1,21,5,Unfurnished,West,713.64,22683.0
Mumbai,Maharashtra,Malad,Apartment,2100,4,4,3,22,5,Fully Furnished,West,581.95,23383.0
Mumbai,Maharashtra,Worli,Independent House,1700,3,4,1,8,5,Unfurnished,North,377.41,21888.0
Mumbai,Maharashtra,Worli,Villa,2850,3,3,3,5,2,Semi-Furnished,North,657.39,21758.0
Mumbai,Maharashtra,Kurla,Apartment,2350,4,5,2,20,5,Semi-Furnished,West,750.73,28976.0
Mumbai,Maharashtra,Borivali,Builder Floor,2300,4,4,2,8,0,Unfurnished,East,605.92,25068.0
Mumbai,Maharashtra,Thane,Independent House,3350,6,6,2,16,5,Semi-Furnished,East,791.77,22620.0
Mumbai,Maharashtra,Worli,Apartment,1800,3,3,1,21,1,Semi-Furnished,North-East,430.73,22432.0
Mumbai,Maharashtra,Goregaon,Apartment,2300,4,5,0,12,2,Fully Furnished,North-East,510.09,17705.0
Mumbai,Maharashtra,Navi Mumbai,Apartment,1200,2,2,0,6,2,Semi-Furnished,North,282.11,23817.0
Mumbai,Maharashtra,Andheri,Apartment,1800,3,3,0,0,15,Unfurnished,North,261.43,18949.0
Mumbai,Maharashtra,Worli,Builder Floor,2400,4,5,1,12,20,Semi-Furnished,North,418.91,21315.0
Mumbai,Maharashtra,Juhu,Villa,3250,4,4,1,8,0,Fully Furnished,East,1119.96,29186.0
Mumbai,Maharashtra,Mulund,Studio,400,1,1,2,24,2,Semi-Furnished,North,109.55,25025.0
Mumbai,Maharashtra,Lower Parel,Apartment,2300,4,4,2,9,10,Semi-Furnished,East,505.35,24074.0
Mumbai,Maharashtra,Kurla,Apartment,1800,3,3,3,15,5,Unfurnished,North-East,373.92,24967.0
Mumbai,Maharashtra,Dadar,Builder Floor,1400,3,3,2,7,2,Unfurnished,North-East,307.7,21250.0
Mumbai,Maharashtra,Bandra,Apartment,1700,3,3,3,3,2,Fully Furnished,North,315.65,16319.0
Mumbai,Maharashtra,Mulund,Builder Floor,1400,3,3,1,12,2,Unfurnished,South,318.71,22612.0
Mumbai,Maharashtra,Bandra,Apartment,1800,3,3,0,8,15,Unfurnished,West,287.23,19967.0
Mumbai,Maharashtra,Andheri,Builder Floor,2050,4,4,2,16,2,Unfurnished,West,427.55,20211.0
Mumbai,Maharashtra,Dadar,Apartment,2750,5,5,0,1,0,Fully Furnished,East,553.87,17898.0
Mumbai,Maharashtra,Goregaon,Independent House,2500,5,5,2,14,5,Semi-Furnished,South,555.76,21441.0
Mumbai,Maharashtra,Navi Mumbai,Villa,2300,5,5,2,14,5,Unfurnished,North-East,447.44,19786.0
Mumbai,Maharashtra,Lower Parel,Apartment,3250,6,7,1,16,0,Unfurnished,East,799.63,23455.0
Mumbai,Maharashtra,Dadar,Apartment,2850,5,5,1,16,2,Unfurnished,East,592.53,20932.0
Mumbai,Maharashtra,Juhu,Villa,3150,3,4,1,12,0,Semi-Furnished,West,902.86,25691.0
Mumbai,Maharashtra,Juhu,Apartment,2450,4,5,0,21,5,Unfurnished,North,616.53,26001.0
Mumbai,Maharashtra,Juhu,Villa,3650,4,4,0,0,2,Unfurnished,East,750.37,21435.0
Mumbai,Maharashtra,Goregaon,Apartment,2550,5,5,2,7,2,Semi-Furnished,North,618.03,21128.0
Mumbai,Maharashtra,Malad,Builder Floor,2000,4,4,2,14,10,Unfurnished,North-East,468.05,26216.0
Mumbai,Maharashtra,Kandivali,Apartment,3250,6,6,2,24,10,Unfurnished,North-West,502.17,17887.0
Mumbai,Maharashtra,Goregaon,Apartment,1650,3,3,1,5,5,Unfurnished,North-West,303.25,19482.0
Mumbai,Maharashtra,Kandivali,Apartment,1700,3,3,2,16,10,Semi-Furnished,West,224.64,14842.0
Mumbai,Maharashtra,Lower Parel,Independent House,2000,4,4,1,18,2,Semi-Furnished,West,619.41,28092.0
Mumbai,Maharashtra,Andheri,Independent House,2050,4,4,1,20,5,Unfurnished,West,359.13,17638.0
Mumbai,Maharashtra,Dadar,Apartment,1800,3,3,1,13,2,Semi-Furnished,East,340.61,18200.0
Mumbai,Maharashtra,Borivali,Apartment,3250,6,6,1,10,10,Semi-Furnished,South,979.28,29560.0
Mumbai,Maharashtra,Borivali,Apartment,1650,3,3,2,0,0,Semi-Furnished,East,362.43,19402.0
Mumbai,Maharashtra,Lower Parel,Apartment,2200,4,4,2,11,2,Unfurnished,North-West,566.13,26016.0
Mumbai,Maharashtra,Kandivali,Apartment,1700,3,3,1,20,0,Unfurnished,East,317.33,16540.0
Mumbai,Maharashtra,Andheri,Studio,550,1,1,1,17,1,Semi-Furnished,North,142.47,23109.0
Mumbai,Maharashtra,Malad,Studio,450,1,1,2,5,10,Unfurnished,West,91.84,21901.0
Mumbai,Maharashtra,Bandra,Independent House,2950,5,5,2,3,5,Unfurnished,West,615.46,20982.0
Mumbai,Maharashtra,Kandivali,Apartment,1400,3,3,2,8,10,Fully Furnished,North-East,260.92,18522.0
Mumbai,Maharashtra,Worli,Builder Floor,1100,2,2,2,17,10,Unfurnished,North-East,175.85,19012.0
Mumbai,Maharashtra,Goregaon,Apartment,1500,3,3,1,6,2,Semi-Furnished,East,396.86,22763.0
Mumbai,Maharashtra,Powai,Apartment,2050,4,4,2,13,2,Semi-Furnished,North-West,501.6,22400.0
Mumbai,Maharashtra,Kurla,Apartment,1350,2,2,2,5,5,Semi-Furnished,East,341.86,23774.0
Mumbai,Maharashtra,Kurla,Apartment,2050,4,4,1,12,1,Unfurnished,East,522.06,25856.0
Mumbai,Maharashtra,Worli,Builder Floor,1350,2,2,1,9,2,Semi-Furnished,South,271.41,18856.0
Mumbai,Maharashtra,Worli,Apartment,2150,4,4,1,16,2,Unfurnished,North-West,536.87,23263.0
Mumbai,Maharashtra,Bandra,Apartment,1900,3,3,1,12,2,Fully Furnished,North-East,375.35,17114.0
Mumbai,Maharashtra,Kandivali,Apartment,2450,4,5,1,4,1,Semi-Furnished,North-East,509.35,18548.0
Mumbai,Maharashtra,Powai,Villa,4250,4,4,1,2,10,Semi-Furnished,East,864.64,22888.0
Mumbai,Maharashtra,Powai,Villa,2250,3,3,1,1,0,Semi-Furnished,West,574.99,25497.0
Mumbai,Maharashtra,Borivali,Independent House,1450,3,4,1,18,2,Unfurnished,North-West,341.21,22244.0
Mumbai,Maharashtra,Navi Mumbai,Builder Floor,1500,3,3,1,3,1,Fully Furnished,West,332.48,18753.0
Mumbai,Maharashtra,Malad,Builder Floor,1500,3,3,1,2,0,Unfurnished,East,231.78,15756.0
Mumbai,Maharashtra,Juhu,Villa,2650,4,4,1,15,0,Unfurnished,North-West,669.16,26654.0
Mumbai,Maharashtra,Goregaon,Apartment,1700,3,3,3,7,5,Unfurnished,West,293.94,18603.0
Mumbai,Maharashtra,Malad,Independent House,2750,5,6,2,13,0,Unfurnished,South,576.88,21512.0
Mumbai,Maharashtra,Borivali,Villa,2500,3,3,1,3,10,Unfurnished,North-East,693.03,30047.0
Mumbai,Maharashtra,Thane,Apartment,1700,3,4,2,5,0,Unfurnished,North-East,391.54,23092.0
Mumbai,Maharashtra,Mulund,Studio,350,1,1,2,24,1,Unfurnished,West,77.13,20348.0
Mumbai,Maharashtra,Powai,Apartment,1750,3,3,0,24,0,Unfurnished,North-East,402.02,21465.0
Mumbai,Maharashtra,Kurla,Apartment,1450,3,3,1,5,0,Unfurnished,West,282.03,20441.0
Mumbai,Maharashtra,Navi Mumbai,Independent House,2150,4,5,0,23,0,Semi-Furnished,North,520.03,21799.0
Mumbai,Maharashtra,Lower Parel,Villa,3050,4,4,1,19,0,Semi-Furnished,North-East,981.37,27447.0
Mumbai,Maharashtra,Kurla,Apartment,1650,3,3,2,4,1,Fully Furnished,South,401.71,20893.0
Mumbai,Maharashtra,Juhu,Apartment,1400,3,4,1,6,2,Unfurnished,North-East,293.7,20818.0
Mumbai,Maharashtra,Navi Mumbai,Studio,300,1,1,1,19,0,Unfurnished,North,68.37,21901.0
Mumbai,Maharashtra,Andheri,Apartment,2300,4,4,1,5,1,Fully Furnished,North,604.07,22933.0
Mumbai,Maharashtra,Borivali,Independent House,1650,3,4,0,7,1,Semi-Furnished,West,422.88,23338.0
Mumbai,Maharashtra,Kurla,Builder Floor,2300,4,4,2,4,5,Semi-Furnished,West,549.8,23471.0
Mumbai,Maharashtra,Malad,Apartment,1950,4,4,1,3,1,Fully Furnished,West,455.04,20264.0
Mumbai,Maharashtra,Navi Mumbai,Apartment,1700,3,4,0,9,0,Unfurnished,North-West,426.43,25187.0
Mumbai,Maharashtra,Borivali,Studio,350,1,1,3,22,0,Fully Furnished,North-East,101.1,21823.0
Mumbai,Maharashtra,Kurla,Apartment,3350,6,6,1,9,1,Fully Furnished,South,784.63,21297.0
Mumbai,Maharashtra,Lower Parel,Apartment,1650,3,4,2,18,10,Semi-Furnished,South,358.84,22207.0
Mumbai,Maharashtra,Bandra,Apartment,2100,4,4,2,20,20,Semi-Furnished,East,374.02,22959.0
Mumbai,Maharashtra,Borivali,Builder Floor,2050,4,5,1,18,0,Unfurnished,East,503.02,22556.0
Mumbai,Maharashtra,Powai,Apartment,2500,5,5,2,6,2,Fully Furnished,East,701.46,25300.0
Mumbai,Maharashtra,Malad,Apartment,1850,3,4,1,9,5,Fully Furnished,West,384.01,19278.0
Mumbai,Maharashtra,Borivali,Villa,5600,3,4,0,16,0,Semi-Furnished,North-East,1846.36,28244.0
Mumbai,Maharashtra,Kurla,Apartment,1550,3,4,2,2,0,Semi-Furnished,North,297.34,17939.0
Mumbai,Maharashtra,Dadar,Apartment,1700,3,3,1,13,5,Unfurnished,South,304.89,18579.0
Mumbai,Maharashtra,Malad,Independent House,2200,4,5,1,13,0,Semi-Furnished,West,610.49,24649.0
Mumbai,Maharashtra,Dadar,Apartment,2900,5,5,1,17,1,Unfurnished,North-East,678.63,21834.0
Mumbai,Maharashtra,Juhu,Villa,6000,4,4,1,13,5,Semi-Furnished,North-West,1335.99,21195.0
Mumbai,Maharashtra,Kandivali,Apartment,1300,2,2,0,21,0,Semi-Furnished,South,334.69,22665.0
Mumbai,Maharashtra,Dadar,Apartment,850,2,3,2,3,0,Fully Furnished,North-West,168.17,16802.0
Mumbai,Maharashtra,Thane,Villa,2650,5,5,0,21,0,Unfurnished,North-West,451.01,16671.0
Mumbai,Maharashtra,Juhu,Apartment,1700,3,3,2,10,0,Fully Furnished,North,502.37,26925.0
Mumbai,Maharashtra,Goregaon,Apartment,2550,5,5,2,10,15,Semi-Furnished,North-West,407.8,19009.0
Mumbai,Maharashtra,Mulund,Independent House,1900,3,3,1,24,15,Fully Furnished,North,424.18,23815.0
Mumbai,Maharashtra,Juhu,Villa,3450,4,4,2,10,0,Semi-Furnished,East,904.46,24376.0
Mumbai,Maharashtra,Bandra,Apartment,2200,4,4,0,15,1,Semi-Furnished,East,404.63,16531.0
Mumbai,Maharashtra,Lower Parel,Apartment,1550,3,4,2,16,0,Unfurnished,North,446.49,28358.0
Mumbai,Maharashtra,Juhu,Apartment,2150,4,4,1,8,2,Fully Furnished,East,533.74,21961.0
Mumbai,Maharashtra,Powai,Builder Floor,1850,3,3,1,5,1,Semi-Furnished,East,467.09,24233.0
Mumbai,Maharashtra,Worli,Apartment,1150,2,3,1,20,1,Semi-Furnished,North,294.19,22642.0
Mumbai,Maharashtra,Lower Parel,Independent House,3550,6,7,1,2,1,Fully Furnished,North,1370.61,32780.0
Mumbai,Maharashtra,Goregaon,Apartment,2150,4,4,1,5,15,Fully Furnished,North,420.0,21795.0
Mumbai,Maharashtra,Bandra,Apartment,2750,5,6,2,12,1,Fully Furnished,North-West,557.75,16602.0
Mumbai,Maharashtra,Navi Mumbai,Villa,6000,5,5,2,8,10,Semi-Furnished,West,1265.7,22717.0
Mumbai,Maharashtra,Kurla,Villa,2000,3,3,2,11,1,Unfurnished,West,456.98,22831.0
Mumbai,Maharashtra,Borivali,Independent House,3050,6,6,1,16,10,Semi-Furnished,North-West,587.01,20755.0
Mumbai,Maharashtra,Andheri,Apartment,2150,4,4,0,6,0,Semi-Furnished,North-West,576.82,24777.0
Mumbai,Maharashtra,Kurla,Apartment,2650,5,6,2,6,10,Unfurnished,North-East,484.49,20426.0
Mumbai,Maharashtra,Worli,Villa,4000,3,3,1,3,1,Unfurnished,East,910.85,21687.0
Mumbai,Maharashtra,Bandra,Apartment,2150,4,4,2,18,20,Fully Furnished,West,388.79,19970.0
Mumbai,Maharashtra,Lower Parel,Independent House,4500,6,6,2,13,0,Unfurnished,North,916.63,19199.0
Mumbai,Maharashtra,Mulund,Villa,2600,4,4,3,7,10,Unfurnished,South,440.08,18583.0
Mumbai,Maharashtra,Mulund,Apartment,2000,4,4,2,20,2,Unfurnished,North-East,395.12,19032.0
Mumbai,Maharashtra,Dadar,Apartment,1400,3,3,1,21,2,Semi-Furnished,East,283.52,19008.0
Mumbai,Maharashtra,Goregaon,Apartment,2450,4,4,2,2,5,Fully Furnished,West,560.15,19500.0
Mumbai,Maharashtra,Goregaon,Apartment,2000,4,5,1,9,20,Unfurnished,East,261.4,17857.0
Mumbai,Maharashtra,Dadar,Apartment,1350,2,2,1,16,0,Unfurnished,North,252.09,18371.0
Mumbai,Maharashtra,Navi Mumbai,Apartment,1700,3,3,1,23,0,Semi-Furnished,North,345.95,17703.0
Mumbai,Maharashtra,Borivali,Apartment,1000,2,2,0,10,0,Unfurnished,East,182.04,18870.0
Mumbai,Maharashtra,Malad,Independent House,3400,6,6,2,4,0,Semi-Furnished,North,722.73,18271.0
Mumbai,Maharashtra,Andheri,Villa,4700,5,5,0,14,1,Fully Furnished,North,1179.84,21280.0
Mumbai,Maharashtra,Goregaon,Apartment,2900,5,6,1,13,2,Fully Furnished,West,826.56,23606.0
Mumbai,Maharashtra,Worli,Independent House,3200,6,6,2,7,10,Semi-Furnished,East,577.23,19325.0
Mumbai,Maharashtra,Kurla,Apartment,2050,4,4,2,24,0,Semi-Furnished,North-East,486.28,21351.0
Mumbai,Maharashtra,Borivali,Apartment,1850,3,4,1,1,1,Semi-Furnished,East,468.0,23491.0
Mumbai,Maharashtra,Worli,Villa,5300,4,4,1,23,0,Semi-Furnished,North,1021.27,16680.0
Mumbai,Maharashtra,Andheri,Villa,1900,3,3,1,16,0,Fully Furnished,East,562.25,22870.0
Mumbai,Maharashtra,Juhu,Apartment,1550,3,3,0,2,15,Semi-Furnished,North,338.1,25997.0
Mumbai,Maharashtra,Kandivali,Apartment,1750,3,3,1,20,0,Fully Furnished,North,421.05,19061.0
Mumbai,Maharashtra,Goregaon,Apartment,1950,4,4,2,19,0,Fully Furnished,North-East,482.67,19860.0
Mumbai,Maharashtra,Dadar,Apartment,2200,4,5,2,18,1,Fully Furnished,West,496.68,19458.0
Mumbai,Maharashtra,Kurla,Apartment,2000,4,4,1,23,20,Unfurnished,North-East,398.94,26221.0
Mumbai,Maharashtra,Powai,Builder Floor,1500,3,3,1,18,0,Semi-Furnished,North,531.23,33102.0
Mumbai,Maharashtra,Powai,Apartment,3200,6,6,1,21,0,Fully Furnished,North,1154.7,29638.0
Mumbai,Maharashtra,Mulund,Apartment,2550,5,6,3,15,0,Fully Furnished,East,630.75,21732.0
Mumbai,Maharashtra,Worli,Apartment,1650,3,3,1,17,5,Fully Furnished,East,541.85,26398.0
Mumbai,Maharashtra,Kurla,Villa,2550,5,5,1,19,0,Semi-Furnished,South,616.57,22137.0
Mumbai,Maharashtra,Powai,Apartment,3500,6,7,0,21,5,Semi-Furnished,West,920.69,25255.0
Mumbai,Maharashtra,Lower Parel,Independent House,2100,4,4,1,24,5,Fully Furnished,South,652.81,28510.0
Mumbai,Maharashtra,Kurla,Apartment,2500,5,5,2,3,5,Unfurnished,East,607.01,27054.0
Mumbai,Maharashtra,Thane,Apartment,2600,5,5,1,2,2,Semi-Furnished,West,582.65,20610.0
Mumbai,Maharashtra,Bandra,Apartment,2400,4,4,0,12,5,Unfurnished,North-East,481.51,22360.0
Mumbai,Maharashtra,Malad,Apartment,1550,3,4,1,20,10,Semi-Furnished,South,395.59,26740.0
Mumbai,Maharashtra,Kurla,Builder Floor,750,1,1,2,19,2,Semi-Furnished,East,203.09,25228.0
Mumbai,Maharashtra,Kurla,Villa,2650,4,4,2,17,1,Unfurnished,North-East,748.34,26420.0
Mumbai,Maharashtra,Borivali,Independent House,2200,4,4,2,22,2,Semi-Furnished,South,607.62,24689.0
Mumbai,Maharashtra,Andheri,Apartment,1400,3,4,2,12,1,Semi-Furnished,North-West,306.59,19603.0
Mumbai,Maharashtra,Goregaon,Apartment,3100,6,7,0,22,0,Fully Furnished,North,570.46,15110.0
Mumbai,Maharashtra,Thane,Independent House,2350,4,4,1,18,2,Fully Furnished,North,328.45,11599.0
Mumbai,Maharashtra,Borivali,Apartment,2150,4,5,0,6,5,Semi-Furnished,North-East,472.79,21972.0
Mumbai,Maharashtra,Borivali,Builder Floor,2100,4,5,2,3,5,Semi-Furnished,South,527.33,25845.0
Mumbai,Maharashtra,Andheri,Independent House,2400,4,4,0,10,1,Unfurnished,North,640.72,28287.0
Mumbai,Maharashtra,Navi Mumbai,Independent House,2750,5,5,3,1,0,Unfurnished,East,377.74,13801.0
Mumbai,Maharashtra,Bandra,Builder Floor,2350,4,5,0,5,5,Semi-Furnished,South,382.13,16325.0
Mumbai,Maharashtra,Lower Parel,Apartment,1750,3,3,2,8,0,Unfurnished,North,483.02,27779.0
Mumbai,Maharashtra,Kandivali,Apartment,2600,5,5,2,12,20,Fully Furnished,North,571.3,25501.0
Mumbai,Maharashtra,Borivali,Apartment,2100,4,4,1,7,0,Unfurnished,South,640.22,29989.0
Mumbai,Maharashtra,Goregaon,Independent House,2750,5,5,1,19,2,Fully Furnished,North,614.22,19441.0
Mumbai,Maharashtra,Lower Parel,Villa,3000,5,6,1,18,0,Fully Furnished,West,1063.08,29698.0
Mumbai,Maharashtra,Worli,Independent House,2550,5,6,1,8,5,Semi-Furnished,North-West,570.41,23333.0
Mumbai,Maharashtra,Malad,Apartment,1950,4,5,1,14,1,Fully Furnished,North-West,573.25,24095.0
